Handle,Title,Vendor,Type,Variant Barcode,Variant Price,Variant Weight,Variant Weight Unit,Google Shopping / MPN,Variant Grams,Body (HTML),Image Src
NSS534,SWITCH Pokémon Legends: Arceus,Nintendo,Nintendo Switch Games,45496428273,,"0,06",,NSS534,,"<p><strong>Chytejte a zkoumejte divoce žijící Pokémony a dokončete tak první Pokédex pro region Sinnoh&nbsp;v Pokémon Legends: Arceus, který dorazí na Nintendo Switch začátkem roku 2022. Tato hra ctí základní hratelnost původních Pokémon her a přidává k nim nové akční a RPG prvky.&nbsp;</strong></p>

<p>Přenesete se do regionu Sinnoh, do kterého byly zasazeny hry Pokémon Diamond a Pokémon Pearl. Ale tento příběh se odehrává v době dávno minulé, kdy nápady jako stát se trenérem Pokémonů nebo vytvoření Pokémon League vůbec neexistovaly. Všude kolem sebe narazíte na divoké Pokémony žijící v drsném prostředí, což dělá z regionu Sinnoh úplně jiné místo, než které si pamatujete z Pokémon Diamond a Pokémon Pearl.&nbsp;</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/WHy7BW-VKGc"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Chytejte Pokémony</strong></p>

<p>Chcete-li chytit Pokémona v Pokémon Legends: Arceus, musíte ho sledovat a vypozorovat tak jeho chování, poté se k němu opatrně přiblížit, zamířit Poké Ball a hodit! Vaši spřátelení Pokémoni vám můžou pomáhat při chytání divokých Pokémonů. Stačí jen hodit Poké Ball s vaším Pokémonem poblíž divokého, kterého chcete chytit a začne se odehrávat bitva, ve které ovládáte svého Pokémona výběrem z útoků, které zná.&nbsp;</p>

<p><strong>Seznamte se svým prvním Pokémonem</strong></p>

<p>Ve chvíli, kdy se vydáte na dobrodružství s cílem vytvořit první Pokédex regionu Sinnoh, budete si moct vybrat svého prvního Pokémona. Stane se vaším parťáke Rowlet, Cyndaquil, nebo Oshawott? Tito tři Pokémoni dorazili společně s Professorem, který je pochytal během svých výprav do různých oblastí.</p>

<p><strong>Na Pokémon Legends: Arceus se můžete těšit 28. ledna 2022, exkluzivně na konzoli Nintendo Switch.</strong></p>",https://com.cqe.cz/gallery/1_51812/switch-pokemon-legends-arceus-default.jpg
NSS532,SWITCH Pokémon Brilliant Diamond,Nintendo,Nintendo Switch Games,45496428075,,"0,06",,NSS532,,"<p><strong>Head to the Sinnoh region in Pokémon Brilliant Diamond!</strong></p>

<p>Adventures in Pokémon Brilliant Diamond take you to the Sinnoh region. Boasting a rich natural landscape and Mount Coronet at its centre, Sinnoh is a region of many historical myths. During your journey, you'll visit many diverse parts of the Sinnoh region as you strive to become a Pokémon League champion.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen="""" frameborder=""0"" height=""315"" referrerpolicy=""strict-origin-when-cross-origin"" src=""https://www.youtube.com/embed/1kr1vqqJgdM?si=eD1H8_OvS0pEzTrm"" title=""YouTube video player"" width=""560""></iframe></p>

<p>The original story has been faithfully reworked, as has the scale of distances between cities and roads. Players of the original game can revisit familiar places and relive moments they've already experienced. For those venturing into Sinnoh for the first time, many new encounters and surprises await.</p>",https://com.cqe.cz/gallery/1_53109/switch-pokemon-brilliant-diamond-default.jpg
NSS576,SWITCH Pokémon Legends: Z-A,Nintendo,Nintendo Switch Games,45496512989,,"0,06",,NSS576,,Game for Nintendo Switch,https://com.cqe.cz/gallery/1_64963/switch-pokemon-legends-z-a-default.jpg
NSS535,SWITCH Pokémon Let's Go Eevee!,Nintendo,Nintendo Switch Games,45496423230,,"0,05",,NSS535,,"<h1>Vyražte na cestu do Kanto regionu se svým věrným společníkem, Eevee, abyste se stali tím nejlepším Pokémon trenérem.</h1>

<p>Hoďte rukou, jako byste házeli Poké Ballem a chyťte divoké Pokémony, ať už s pomocí Joy-Con ovladače či příslušenství Poké Ball Plus, který&nbsp;svítí, vibruje a dělá zvuky, aby přivedl vaše dobrodružství k životu. Sdílejte své dobrodružství s rodinou či přáteli s druhým Joy-Con ovladačem nebo Poké Ball Plus (prodávané samostatně). Dokonce lze propojit s Pokémon GO hrou na kompatibilním smartphonu a přenášet pokémony z Kanto regionu!</p>

<p>Objevte rozsáhlý region Kanto! Divocí pokémoni se prohání po světě a vy je můžete chytat jako opravdový Pokémon Trenér pomocí pohybu, dobrého časování a správně vybraného Poké Ballu. Zajděte si na procházku s vaším oblíbeným Pokémonem s Poké Ball Plus! Propojte hru s Pokémon GO a získejte Pokémony z Kanto regionu.</p>

<p><img alt="""" src=""https://b2b.cqe.cz/db/wysiwyg/Media/eev.jpg"" style=""opacity: 0.9; width: 360px; height: 490px; float: right;""></p>

<ul>
	<li>Dostaňte se na vrchol kariéry trenéra Pokémonů na dobrodružství s Eevee!</li>
	<li>Potkávejte pokémony v Kanto regionu</li>
	<li>Hrajte celou hru s jedním Joy-Con ovladačem nebo použijte doplněk Poké Ball Plus, který svítí, vibruje a dělá zvuky</li>
	<li>Vyjděte si na procházku se svým oblíbeným pokémonem s Poké Ball Plus</li>
	<li>Hrajte dobrodružství s pokémony společně kdykoliv a kdekoliv na jedné konzoli s druhým Joy-Con ovladačem nebo Poké Ball Plus pro kooperativní souboje</li>
	<li>Spojte Poké Ball Plus příslušenství s Pokémon GO na kompatibilních smartphonech a chytejte Pokémony z regionu Kanto, mezitím noste s sebou Pokémony z Pokémon: Let's Go, Pikachu! nebo Pokémon: Let's Go, Eevee!</li>
</ul>

<p><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/videoseries?list=PLYb2Ex5lahUcY9ThdqubkCeL33ZoYcoHX"" width=""560""></iframe></p>",https://com.cqe.cz/gallery/1_39288/switch-pokemon-let-s-go-eevee-default.jpg
NSS538,SWITCH Pokémon Let's Go Pikachu!,Nintendo,Nintendo Switch Games,45496423155,,"0,05",,NSS538,,"<h1>Set out on a journey to the Kanto region with your faithful companion, Pikachu, to become the best Pokémon trainer.</h1>

<p>Throw your arm like you're throwing a Poké Ball and catch wild Pokémon, either using the Joy-Con controller or the Poké Ball Plus accessory that lights up, vibrates, and makes sounds to bring your adventure to life. Share your adventure with family or friends using a second Joy-Con controller or Poké Ball Plus (sold separately). You can even connect with Pokémon GO on a compatible smartphone and transfer Pokémon from the Kanto region!</p>

<p>Discover the vast Kanto region! Wild Pokémon roam the world and you can catch them like a real Pokémon Trainer using motion, good timing, and the right Poké Ball. Take a walk with your favorite Pokémon with Poké Ball Plus! Connect the game with Pokémon GO and get Pokémon from the Kanto region.</p>

<p><img alt="""" src=""https://b2b.cqe.cz/db/wysiwyg/Media/pika.jpg"" style=""opacity: 0.9; width: 360px; height: 490px; float: right;""></p>

<ul>
	<li>Reach the top of your Pokémon trainer career on an adventure with Pikachu!</li>
	<li>Meet Pokémon in the Kanto region</li>
	<li>Play the entire game with one Joy-Con controller or use the Poké Ball Plus accessory that lights up, vibrates, and makes sounds</li>
	<li>Take a walk with your favorite Pokémon using Poké Ball Plus</li>
	<li>Play Pokémon adventures together anytime and anywhere on one console with a second Joy-Con controller or Poké Ball Plus for cooperative battles</li>
	<li>Connect the Poké Ball Plus accessory with Pokémon GO on compatible smartphones and catch Pokémon from the Kanto region, while carrying Pokémon from Pokémon: Let's Go, Pikachu! or Pokémon: Let's Go, Eevee!</li>
</ul>

<p><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/videoseries?list=PLYb2Ex5lahUcY9ThdqubkCeL33ZoYcoHX"" width=""560""></iframe></p>",https://com.cqe.cz/gallery/1_39289/switch-pokemon-let-s-go-pikachu-default.jpg
NSS556,SWITCH Pokémon Scarlet,Nintendo,Nintendo Switch Games,45496510725,,"0,06",,NSS556,,"<p><strong>Vítejte v otevřeném světě Pokémonů!</strong></p>

<p>Pokémon Scarlet a Pokémon Violet jsou nejnovějšími přídavky do Pokémon série, kde vyjdou už 18. listopadu pro Nintendo Switch. S těmito dvěma hrami podniká celá série další krok ve své evoluci v podobě možnosti volně objevovat bohatě zaplněný otevřený svět.</p>

<p>Různá města volně splývají s okolní přírodou bez zjevných hranic. Hledejte Pokémony ve zdejších mořích, lesech i v oblacích. Zažijte opravdovou radost z hraní Pokémon hry – bojujte proti divokým Pokémonům a následně je chytejte. Nyní ve hře z otevřeného světa, kterou si užijí hráči jakéhokoliv věku!</p>

<p>Sdílejte radost z objevování i se svými přáteli a rodinou tím, že se na dobrodružství vydáte až ve čtyřčlenné skupince!*</p>

<p>Na počátku své cesty budete mít na výběr z tří následujících Pokémonů – Sprigatito, Fuecoco a Quaxly.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/H4lWwwlnM-Q"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Představujeme postavy</strong></p>

<p>Nemonna je usměvavá, energetická milovnice zápasů Pokémonů! Jako zkušená trenérka vás bude vést během dobrodružství.</p>

<p>V Pokémon Scarlet se seznámíte s profesorkou Sada, zatímco v Pokémon Violet bude vaším profesorem Turo. Každý z nich provádí výzkum ohledně jistých pověstí o regionu…</p>

<p>Váš vzhled bude záležet na tom, zdali hrajete Pokémon Scarlet, či Pokémon Violet. Kdo ví, jaké dobrodružství na vás čeká?</p>

<p><em>*Dodatečná příslušenství, hry a/nebo konzole mohou být vyžadovány pro hraní multiplayer (vše prodávané samostatně). Připojení k internetu je vyžadováno během online hraní. K použití online služeb je nutné si vytvořit Nintendo účet a přijmout příslušná ujednání. Nintendo Account Privacy Policy je uplatňováno. Některé online služby nemusejí být dostupné ve všech zemí. Online hraní vyžaduje placené členství. Zjistit o něm více můžete <a href=""https://www.mojenintendo.cz/switch/online"">zde</a>.&nbsp;</em></p>",https://com.cqe.cz/gallery/1_56478/switch-pokemon-scarlet-default.jpg
NSS542,SWITCH Pokémon Mystery Dungeon: Rescue Team DX,Nintendo,Nintendo Switch Games,45496425999,,"0,05",,NSS542,,"<h2>Co kdybyste&nbsp;se jednoho rána probudili… a byl z vás Pokémon?!&nbsp;</h2>

<p>Připravte se na objevování krásného, znovuvytvořeného světa ve hře Pokémon Mystery Dungeon: Rescue Team DX – remaku původního titulu, jenž vyšel na Nintendo DS a Game Boy Advance. Vytvořte si svůj záchranný tým z Pokémonů jako Pikachu, Eevee nebo Charmander a vydávejte se na mise do&nbsp;měnících se dungeonů, kde budete zachraňovat ostatní Pokémony.&nbsp;&nbsp;</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/PxKtyJjqU3g"" width=""560""></iframe></p>

<h2>Čelte záhadným dungeonům!</h2>

<p>To se takhle jednou vzbudíte ve světě Pokémonů, abyste zjistili,… že jste se sami stali Pokémonem! Přesně tato zápletka vás čeká ve hře Pokémon Mystery Dungeon: Rescue Team DX. Vyřešte záhadu svých prazvláštních nesnází tím, že se spřátelíte s ostatními Pokémony a společně budete cestovat skrz dungeony, které s každým dalším průchodem nezůstanou stejné. Najdete zde Pokémony, se kterými budete bojovat, ale zároveň na vás v případě úspěchů budou čekat odměňující poklady.&nbsp;</p>

<h2>Zažijte znovu klasické dobrodružství!</h2>

<p>Titul Pokémon Mystery Dungeon: Red Rescue se po původním vydání na konzolích Nintendo DS a Game Boy Advance nyní dostává i na konzoli Nintendo Switch, navíc ve vylepšené verzi se zcela nově vytvořenou vizuální stránkou. Zjistěte, co na vás čeká v nebezpečných dungeonech!&nbsp;</p>

<h2>Stáhněte si zdarma demoverzi!</h2>

<p>Demoverzi hry Pokémon Mystery Dungeon: Rescue Team DX si můžete zahrát už teď. Vyzkoušejte si několik prvních úrovní a přeneste si uloženou pozici do plné verze. Stáhnout&nbsp;demoverzi můžete skrz Nintendo eShop na vaší konzoli Nintendo Switch, případně skrz oficiální stránku Nintendo.co.uk.&nbsp;&nbsp;</p>

<h2>Více informací&nbsp;</h2>

<ul>
	<li>Zodpovězte otázky o sobě a zjistěte, kterým Pokémonem se stanete</li>
	<li>Prožijte život Pokémona, konverzujte, buďte přáteli s ostatními Pokémony a bojujete bok po boku&nbsp;</li>
	<li>Vytvoře si svůj vlastní tým z Pokémonů a bojujte o záchranu svět od přírodních katastrof&nbsp;</li>
	<li>Objevujte tajemné dungeony, které se mění pokaždé, co do nich vstoupíte&nbsp;</li>
	<li>Vydávejte se na dobrodružství s vaším záchranným týmem a seznamte se s mnoha novými druhy Pokémonů&nbsp;</li>
</ul>",https://com.cqe.cz/gallery/1_45385/switch-pokemon-mystery-dungeon-rescue-team-dx-default.jpg
NSS560,SWITCH Pokémon Shield,Nintendo,Nintendo Switch Games,45496424824,,"0,06",,NSS560,,"<h2>A new generation of Pokémon comes to Nintendo Switch</h2>

<p>Begin your Pokémon trainer adventure by choosing one of three new Pokémon partners: Grookey, Scorbunny, or Sobble. The Galar region awaits, where you need to stop the troublemakers from Team Yell and uncover the mystery behind the legendary Pokémon Zacian and Zamazenta! Explore the Wild Area – a vast landscape where you can freely control the camera. Connect locally or online with three other players in new multiplayer Max Raid battles, where players together face huge super-powerful Pokémon known as Dynamax Pokémon.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/NYtxkcs0DWE"" width=""560""></iframe></p>

<p>Certain Pokémon can achieve Gigantamax form and gain new appearances and powerful G-Max abilities. But the fun doesn't end with perfecting battle skills – visit shops in town and choose new clothes or get a new hairstyle. Be exactly the trainer you want to be. On your adventure, you'll meet not only brand new Pokémon but also familiar ones in new Galarian forms! To make leveling up your Pokémon easier, assign them to complete Poké Jobs. For fun, there's Pokémon Camp where you can play with your Pokémon!</p>

<ul>
	<li>Catch Pokémon, trade them and battle with them on your adventure in the Galar region</li>
	<li>Choose from three new Pokémon partners and meet brand new Pokémon</li>
	<li>Uncover the mystery of legendary Pokémon Zacian and Zamazenta!</li>
	<li>Players can freely control the camera in the vast Wild Area</li>
	<li>Connect with other trainers in Max Raid battles!</li>
	<li>Battle against wild Dynamax Pokémon in Max Raid battles and try to catch them!</li>
</ul>

<h2>Poké Ball Plus</h2>

<p>Take advantage of the Poké Ball Plus controller features (sold separately). Take your Pokémon for a walk in the real world! If you spend enough time with your favorite Pokémon, something amazing will happen!</p>",https://com.cqe.cz/gallery/1_43032/switch-pokemon-shield-default.jpg
NSS564,SWITCH Pokémon Shining Pearl,Nintendo,Nintendo Switch Games,45496428174,,"0,06",,NSS564,,"<p>Jako bonus ke hře dostanete plagát Pokémon Shining Pearl</p>

<p>&nbsp;</p>

<p><strong>Vydejte se do regionu Sinnoh v Pokémon&nbsp;Shining Pearl!</strong></p>

<p>Dobrodružství v Pokémon Shining Pearl vás zavede do regionu Sinnoh. Pyšnící se bohatou přírodou a horou Mount Coronet ve svém středu je Sinnoh oblastí mnoha historických mýtů. Během své cesty navštívíte mnoho rozličných částí regionu Sinnoh a budete se snažit o to, aby se šampión Pokémon League stal právě z vás.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/_lMaeDUK-Uc"" title=""YouTube video player"" width=""560""></iframe></p>

<p>Původní příběh byl věrně přepracován, stejně jako bylo zachováno měřítko vzdáleností mezi městy a cestami. Hráči původní hry mohou znovu navštívit známá místa i zažít momenty, které už jednou prožili. Na ty, kteří se vydávají do Sinnoh poprvé, čeká spousta nových setkání a překvapení.</p>

<p><strong>Pokémon Shining Pearl dorazí na Nintendo Switch&nbsp;19. listopadu 2021.</strong></p>",https://com.cqe.cz/gallery/1_53110/switch-pokemon-shining-pearl-default.jpg
NSS570,SWITCH Pokémon Sword,Nintendo,Nintendo Switch Games,45496424756,,"0,06",,NSS570,,"<h2>A new generation of Pokémon comes to Nintendo Switch</h2>

<p>Begin your Pokémon trainer adventure by choosing one of three new Pokémon partners: Grookey, Scorbunny, or Sobble. The Galar region awaits, where you need to stop the troublemakers from Team Yell and uncover the mystery behind the legendary Pokémon Zacian and Zamazenta! Explore the Wild Area – a vast landscape where you can freely control the camera. Connect locally or online with three other players in new multiplayer Max Raid battles, where players together face huge super-powerful Pokémon known as Dynamax Pokémon.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/NYtxkcs0DWE"" width=""560""></iframe></p>

<p>Certain Pokémon can achieve Gigantamax form and gain new appearances and powerful G-Max abilities. But the fun doesn't end with perfecting battle skills – visit shops in town and choose new clothes or get a new hairstyle. Be exactly the trainer you want to be. During your adventure, you'll meet not only completely new Pokémon but also familiar ones in new Galarian forms! To make leveling up your Pokémon easier, assign them to complete Poké Jobs. For fun, there's the Pokémon Camp where you can play with your Pokémon!</p>

<ul>
	<li>Catch Pokémon, trade them, and battle with them on your adventure in the Galar region</li>
	<li>Choose from three new Pokémon partners and meet brand new Pokémon</li>
	<li>Uncover the mystery of legendary Pokémon Zacian and Zamazenta!</li>
	<li>Players can freely control the camera in the vast Wild Area</li>
	<li>Team up with other trainers in Max Raid battles!</li>
	<li>Battle against wild Dynamax Pokémon in Max Raid battles and try to catch them!</li>
</ul>

<h2>Poké Ball Plus</h2>

<p>Take advantage of the Poké Ball Plus controller features (sold separately). Take your Pokémon for a walk in the real world! If you spend enough time with your favorite Pokémon, something amazing will happen!</p>",https://com.cqe.cz/gallery/1_43033/switch-pokemon-sword-default.jpg
NSS620,SWITCH Ring Fit Adventure,Nintendo,Nintendo Switch Games,45496424169,,"0,76",,NSS620,,"<h2>Dobrodružství, které vás rozpohybuje!</h2>

<p>Je na čase vydat se na fitness dobrodružství s pásem na noze a Ring-Con ovladačem v ruce! Objevte dobrodružný fantasy svět a poražte vyrýsovaného draka a jeho poddané pomocí opravdových cviků v Ring Fit Adventure, nové fitness videohře na Nintendo Switch! Během na místě se pohybujete po travnatých pláních, posilováním útočíte na nepřátele a jógovými pozicemi si doplníte svůj ukazatel zdraví.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/rOVUrLhVvJg"" title=""YouTube video player"" width=""560""></iframe></p>

<p align=""left"">Dva nové doplňky, Ring-Con a pás na nohu, důkladně měří vaší aktivitu v opravdovém světě a přeměňuje ji v aktivity ve hře. Díky bonusovým minihrám a upravitelným setům na cvičení je Ring Fit Adventure skvělým únikem pro hráče různých fyzických dovedností i časových možností.</p>

<h2>Vylepšujte svou herní postavu i sebe!</h2>

<p>Pobijte v Adventure módu všechny nepřátele útoky, které provádíte pomocí více než 40 reálných cviků. Prostupujete napříč více než 100 úrovní ve více než 20 světech. Každou zdolanou úrovní (a propoceným tričkem) získáte body dovednosti a sbíráte ingredience k namíchání ozdravujících smoothie.</p>

<p>Mezi bitvami se můžete setkat s neobvyklými způsoby přepravy jako je například plachtění pomocí dřepů, pádlování a další! Ještě více překvapení na vás čeká v městech a v General Store, kde si zakoupíte oblečení, které zvýší váš útok a obranu nebo plníte vedlejší mise k získání super efektivních předmětů.</p>

<p>Chcete soutěžit s ostatními? Předávejte si Ring-Con ovladač a vyberte si ze 12 miniher: rozbíjení krabic pomocí proudu vzduchu, hrnčířství pomocí dřepů a další. Pokud hledáte spíše důkladnější posilování, můžete si vytvořit své vlastní posilovací sestavy s různou kombinací cviků a miniher. Svůj výkon můžete měřit také pomocí srdeční tepové frekvence či počtu spálených kalorií díky věstavěné IR pohybové kameře v Joy-Con (R) ovladači.</p>

<p>Tím se vždy ujistíte, že plníte svůj plán. A pokud vám to nebude stačit, můžete si vzít svůj Ring-Con společně s Joy-Con ovladačem s sebou, a to bez konzole Nintendo Switch. Můžete ho mačkat a roztahovat, zatímco sedíte v práci nebo na lavičce v parku. Poté si synchronizujete Ring-Con se svou hrou a tím se vaše posilování přemění na body dovednosti a předměty pro vaši herní postavu. Buďte motivovaní a sklízejte ovoce svého cvičení ve hře i mimo ni!</p>

<p align=""left""><img alt="""" src=""https://b2b.cqe.cz/db/wysiwyg/ringfitcz.png"" style=""width: 100%;"">​</p>

<h2>Vlastnosti</h2>

<ul>
	<li>Objevte rozlehlý fantasy svět a bojujte s nepřáteli pomocí více než 40 reálných cviků</li>
	<li>Běhejte, sprintujte a poskakujte napříč více než 100 úrovní ve více než 20 světech</li>
	<li>Sbírejte ve hře ingredince k namíchání herních smoothie, které vám dočasně vylepší schopnosti</li>
	<li>Získávejte herní měnu a odemykejte si nové vybavení</li>
	<li>Pečlivě ovládejte herní pohyby pomocí nového ovladače Ring-Con a pásu na nohu</li>
	<li>Hrajte rozsáhlý příběh nebo krátké minihry, které se přizpůsobí vašemu času a fyzické kondici</li>
	<li>Kontrolujte si svůj odhadovaný tep pomocí vestavěné IR pohybové kamery</li>
	<li>Vytvořte si své vlastní posilovací sestavy, které odpovídají vašemu životnímu stylu</li>
	<li>Vezměte si Ring-Con s sebou, když je hra vypnutá a dál zlepšujte dovednosti své herní postavu</li>
</ul>",https://com.cqe.cz/gallery/1_43820/switch-ring-fit-adventure-default.jpg
NSS574,SWITCH Pokémon Violet,Nintendo,Nintendo Switch Games,45496510824,,"0,06",,NSS574,,"<p><strong>Vítejte v otevřeném světě Pokémonů!</strong></p>

<p>Pokémon Scarlet a Pokémon Violet jsou nejnovějšími přídavky do Pokémon série, kde vyjdou už 18. listopadu pro Nintendo Switch. S těmito dvěma hrami podniká celá série další krok ve své evoluci v podobě možnosti volně objevovat bohatě zaplněný otevřený svět.</p>

<p>Různá města volně splývají s okolní přírodou bez zjevných hranic. Hledejte Pokémony ve zdejších mořích, lesech i v oblacích. Zažijte opravdovou radost z hraní Pokémon hry – bojujte proti divokým Pokémonům a následně je chytejte. Nyní ve hře z otevřeného světa, kterou si užijí hráči jakéhokoliv věku!</p>

<p>Sdílejte radost z objevování i se svými přáteli a rodinou tím, že se na dobrodružství vydáte až ve čtyřčlenné skupince!*</p>

<p>Na počátku své cesty budete mít na výběr z tří následujících Pokémonů – Sprigatito, Fuecoco a Quaxly.</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/H4lWwwlnM-Q"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Představujeme postavy</strong></p>

<p>Nemonna je usměvavá, energetická milovnice zápasů Pokémonů! Jako zkušená trenérka vás bude vést během dobrodružství.</p>

<p>V Pokémon Scarlet se seznámíte s profesorkou Sada, zatímco v Pokémon Violet bude vaším profesorem Turo. Každý z nich provádí výzkum ohledně jistých pověstí o regionu…</p>

<p>Váš vzhled bude záležet na tom, zdali hrajete Pokémon Scarlet, či Pokémon Violet. Kdo ví, jaké dobrodružství na vás čeká?</p>

<p><em>*Dodatečná příslušenství, hry a/nebo konzole mohou být vyžadovány pro hraní multiplayer (vše prodávané samostatně). Připojení k internetu je vyžadováno během online hraní. K použití online služeb je nutné si vytvořit Nintendo účet a přijmout příslušná ujednání. Nintendo Account Privacy Policy je uplatňováno. Některé online služby nemusejí být dostupné ve všech zemí. Online hraní vyžaduje placené členství. Zjistit o něm více můžete <a href=""https://www.mojenintendo.cz/switch/online"">zde</a>.&nbsp;</em></p>",https://com.cqe.cz/gallery/1_56477/switch-pokemon-violet-default.jpg
NSS6495,SWITCH Shin Megami Tensei V,Nintendo,Nintendo Switch Games,45496428846,,"0,05",,NSS6495,,"<p><strong>V Shin Megami Tensei V - nejnovější hře z oceňované RPG série Shin Megami Tensei - hrajete za&nbsp;středoškoláka, jenž musí zkrotit své nově objevené schopnosti a probojovat si cestu skrz démony zamořenou pustinu pomocí příkazové bojového systému.&nbsp;</strong></p>

<p>Byť démoni jsou hroziví nepřátelé, z některých z nich se můžou stát cenní spojenci, které díky vyjednávání naverbujete a následně s vámi budou bojovat v tomto postupně umírajícím světe. Jak se váš osud bude vyvíjet dále?</p>

<p><iframe allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/4V_htFz67ao"" title=""YouTube video player"" width=""560""></iframe></p>

<p><strong>Shin Megami Tensei V vyjde na Nintendo Switch 12. listopadu</strong></p>",https://com.cqe.cz/gallery/1_53039/switch-shin-megami-tensei-v-default.jpg
NSS657,SWITCH Snack World: The Dungeon Crawl - Gold,Nintendo,Nintendo Switch Games,45496423667,,"0,05",,NSS657,,"<h2>A prozkoumávání dungeonů může začít!</h2>

<p>Staňte se dobrodružným hrdinou v&nbsp;tomto&nbsp;rogue-like RPG, vydávejte se do dungeonů při hledání vzácných pokladů a zároveň se pokuste provést pomstu na zlomyslném Sultanovi Vinegar, který zničil vaší vesnici! Proti tyranům se můžete spojit dokonce až do 4člených týmů!</p>

<h2>V&nbsp;temných dobách…</h2>

<p>Ocitnete se těsně od smrti u bran Tutti-Frutti. Nic si nepamatujete… ale alespoň máte skvělé nové přátele, se kterými se můžete vydat na dobrodružství!</p>

<h2>To vy jste pánem vlastního dungeonu!</h2>

<p>Změňte si vlasy, oči, ústa, tělo… ZKRÁTKA VŠECHNO, co vám bude vyhovovat a vytvořte si postavu, se kterou se s&nbsp;chutí vydáte na cestu!</p>

<h2>Sbírejte zavařovačky!</h2>

<p>Vemte si s&nbsp;sebou různé zavařovačky zvané „jaras“ – ty obsahují „nakládané“ zbraně, štíty, léčící toniky a vylepšující voňavky s&nbsp;náhodnými parametry, které se dají zmenšit na lepší přenášení – a vyměňujte je za běhu podle nepřátel, kterým čelíte!</p>

<h2>To vypadá jako Snack!</h2>

<p>„Snacks“ jsou snímky nepředvídatelných stvoření a zvláštních postav, které si můžete přivolat do boje. Sbírejte a vyměňujte si snacks a jaras se svými opravdovými přáteli… jestli nějaké máte.</p>

<h2>Sbírejte odměny a staňte se hvězdou Tutti-Frutti!</h2>

<p>Čím více toho získáte z&nbsp;úkolů, tím více truhel vám bude odkázáno! Každý úkol má různé podmínky a různé vzácné předměty!</p>

<h2>Pomozte místním</h2>

<p>Probuďte Sloe White, pomozte dívčí skupině Spicy Galz, pomozte… zeleninobuldokovi nebo hrncové příšeře?!? Buďte hlavním klaďasem ve městě díky vedlejším úkolům!</p>

<h2>Lahodně nadčasové dobrodružství</h2>

<p>Fantasy a technologie se střetnou právě v&nbsp;této inovační RPG s&nbsp;moderní zápletkou pro hráče všech generací!</p>

<h2>Co je GOLD verze?</h2>

<p>GOLD verze zahrnuje oba rozšiřující balíčky a další stažitelný obsah z&nbsp;původní hry vydané v&nbsp;Japonsku, a to zcela zdarma!</p>",https://com.cqe.cz/gallery/1_45248/switch-snack-world-the-dungeon-crawl-gold-default.jpg
